part,price(USD),quantity,source
PBT keycaps shinethrough side printed,$17.65,1,https://www.amazon.ca/dp/B0D1XK549B?psc=1&ref_=cm_sw_r_cp_ud_ct_RZ4HP9B0TKT2E4PN34CX
466pcs M3 assorted screw kit,$12.00,1,https://www.amazon.ca/dp/B0GCF8HZFR?psc=1&ref_=cm_sw_r_cp_ud_ct_RZ4HP9B0TKT2E4PN34CX_1
110pcs kailh Hot-swap PCB socket,$9.88,1,https://www.aliexpress.com/item/1005012011087592.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2027.98%21CAD%2013.99%21%21CAD%2013.99%21%21%21%402101e80b17829341250986702e12fb%2112000057272683073%21ct%21CA%212941882824%21%211%210%21
Cherry Style clear PCB-mounted stabilizers,$7.89,1,https://www.aliexpress.com/item/32719735398.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2011.78%21CAD%2011.18%21%21CAD%2011.18%21%21%21%402101e80b17829341250986702e12fb%2165420166339%21ct%21CA%212941882824%21%211%210%21
50g Rosin Core solder,$5.04,1,https://www.aliexpress.com/item/32889029087.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%207.14%21CAD%207.14%21%21CAD%207.14%21%21%21%402101e80b17829341250986702e12fb%2112000036063038177%21ct%21CA%212941882824%21%211%210%21
NRF52840 dev board (Nice!Nano clone),$4.00,1,https://www.aliexpress.com/item/1005008594178678.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%205.67%21CAD%205.67%21%21CAD%205.67%21%21%21%402101e80b17829341250986702e12fb%2112000055973887626%21ct%21CA%212941882824%21%211%210%21
90pcs Cherry MX Brown RGB switch,$28.79,1,https://www.aliexpress.com/item/1005008998414457.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2043.92%21CAD%2039.58%21%21CAD%2039.58%21%21%21%402101e80b17829341250986702e12fb%2112000047513088840%21ct%21CA%212941882824%21%211%210%21
5pcs round hole pin header,$3.12,1,https://www.aliexpress.com/item/4001122376295.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%204.42%21CAD%204.42%21%21CAD%204.42%21%21%21%402101e80b17829341250986702e12fb%2110000014593481346%21ct%21CA%212941882824%21%211%210%21
100pcs JST PH 2 pin plug male and female,$1.99,1,https://www.aliexpress.com/item/1005004955655144.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%202.82%21CAD%202.82%21%21CAD%202.82%21%21%21%402101e80b17829341250986702e12fb%2112000031146362164%21ct%21CA%212941882824%21%211%210%21
100pcs 1N4148WS T4 diode,$3.45,1,https://www.aliexpress.com/item/1005004309686841.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%205.08%21CAD%204.89%21%21CAD%204.89%21%21%21%402101e80b17829341250986702e12fb%2112000028705892998%21ct%21CA%212941882824%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
3.7V 2000mAh Li-Po battery,$7.08,1,https://www.aliexpress.com/item/1005011848043177.html?spm=a2g0o.cart.0.0.3b6838daOVnpYS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2023.44%21CAD%201.44%21%21CAD%201.44%21%21%21%402101e80b17829341250986702e12fb%2112000056776498743%21ct%21CA%212941882824%21%211%210%21
100pcs SK6803MINI-E LED,$10.86,1,https://www.aliexpress.com/item/1005006968060177.html?spm=a2g0o.cart.0.0.3b6838daFa8HFX&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2015.38%21CAD%2015.38%21%21CAD%2015.38%21%21%21%402103117b17836324405388274e0d51%2112000038888086591%21ct%21CA%212941882824%21%211%210%21
Shipping (Aliexpress),$5.46,1,N/A
EC11 rotary encoder,$0.00,1,me
PCB,$21.80,1(5),JLCPCB
Aluminum switch plate,$16.48,1,JLCCNC
Aluminum cosmetic plate,$5.19,1,JLCCNC
Aluminum bottom plate,$11.03,1,JLCCNC
Aluminum bottom subframe plate,$10.40,1,JLCCNC
Shipping (JLCPCB/CNC) (global star shipping not availible due to weight),$31.77,1,DHL express
