Designator,Mid X,Mid Y,Rotation,Layer
D1,167.9364,-132.5767,90.0,top
D10,358.4364,-132.5767,90.0,top
D11,377.4864,-132.5767,90.0,top
D12,396.5364,-132.5767,90.0,top
D13,434.6364,-132.5767,90.0,top
D14,144.1239,-156.3892,90.0,top
D15,177.4614,-156.3892,90.0,top
D16,206.0364,-156.3892,90.0,top
D17,225.0864,-156.3892,90.0,top
D18,244.1364,-156.3892,90.0,top
D19,263.1864,-156.3892,90.0,top
D2,186.9864,-132.5767,90.0,top
D20,282.2364,-156.3892,90.0,top
D21,301.2864,-156.3892,90.0,top
D22,320.3364,-156.3892,90.0,top
D23,339.3864,-156.3892,90.0,top
D24,358.4364,-156.3892,90.0,top
D25,377.4864,-156.3892,90.0,top
D26,396.5364,-156.3892,90.0,top
D27,415.5864,-156.3892,90.0,top
D28,434.6364,-156.3892,90.0,top
D29,144.1239,-175.4392,90.0,top
D3,206.0364,-132.5767,90.0,top
D30,172.6989,-175.4392,90.0,top
D31,196.5114,-175.4392,90.0,top
D32,215.5614,-175.4392,90.0,top
D33,234.6114,-175.4392,90.0,top
D34,253.6614,-175.4392,90.0,top
D35,272.7114,-175.4392,90.0,top
D36,291.7614,-175.4392,90.0,top
D37,310.8114,-175.4392,90.0,top
D38,329.8614,-175.4392,90.0,top
D39,348.9114,-175.4392,90.0,top
D4,225.0864,-132.5767,90.0,top
D40,367.9614,-175.4392,90.0,top
D41,387.0114,-175.4392,90.0,top
D42,406.0614,-175.4392,90.0,top
D43,429.8739,-175.4392,90.0,top
D44,144.1239,-194.4892,90.0,top
D45,179.84265,-194.4892,90.0,top
D46,210.7989,-194.4892,90.0,top
D47,229.8489,-194.4892,90.0,top
D48,248.8989,-194.4892,90.0,top
D49,267.9489,-194.4892,90.0,top
D5,253.6614,-132.5767,90.0,top
D50,286.9989,-194.4892,90.0,top
D51,306.0489,-194.4892,90.0,top
D52,325.0989,-194.4892,90.0,top
D53,344.1489,-194.4892,90.0,top
D54,363.1989,-194.4892,90.0,top
D55,382.2489,-194.4892,90.0,top
D56,401.2989,-194.4892,90.0,top
D57,427.49265,-194.4892,90.0,top
D58,194.13015,-213.5392,90.0,top
D59,220.3239,-213.5392,90.0,top
